" What is the capital of Afghanistan?", "Kabul", "Tirana", "Dushanbe", "Tashkent"
" What is the capital of Australia?", "Canberra", "Sydney", "Melbourne", "Ottawa"
" What is the capital of Belgium?", "Brussels", "Amsterdam", "Luxemburg", "Stockholm"
" What is the capital of Greece?", "Athens", "Ankara", "Sofia", "Thessaloniki"
" What is the capital of Italy?", "Rome", "Venice", "Naples", "Milan"
" What is the capital of Israel?", "Jerusalem", "Tel Aviv", "Kabul", "Islamabad"
" What is the capital of Germany?", "Berlin", "Frankfurt", "Munich", "Hamburg"
" What is the capital of Norway?", "Oslo", "Stockholm", "Helsinki", "Copenhagen"
" What is the capital and largest city of Hawaii, the 50th US state?", "Honolulu", "Little Rock", "Dover", "Frankfort"
" When the streams Biya and Katun join in Altai Krai, they form this mighty river. It is located in West Siberia, Russia and has many names- the Siberian Tatars call it Omar or Umar, the Samoyedes- Kolta or Kuay and to the Ostiaks it is known as the As, Yag, Kolta and Yema. It joins the Irtysh river, forming the longest river flow in Russia. What is its name?", "Ob", "Ural", "Volga", "Lena"
" Although the Amazon river is generally regarded as the second-longest in the world, it is the river with greatest total flow, carrying more than the Mississippi, Nile, and Yangtze rivers combined.  It ends in the Atlantic Ocean, but it is believed to begin its long journey from this mountain peak.", "Nevado Mismi", "Misti", "Cotopaxi", "Mount Chimborazo"
" This is the longest river in Asia and its Chinese name, Chang Jiang, is literally translated to Long River. The critically endangered Chinese River Dolphin and Chinese paddlefish live only in this river. It takes its source in the Qinghai Province, flows for 6,380km (3964miles) and finally empties into the East China Sea. What is the name of this river?", "Yangtze", "Irtysh", "Huai River", "Mekong"
" Huang He is the second-longest river in China. Its source is in the Kunlun Mountains at 4,500m (14,764 feet) above sea level. Due to the silts that the river carries, the color of its waters becomes so unnatural that it gave the name of the river . What is the color of the waters of Huang He?", "Yellow", "Brown", "Orange", "Red"
" It is the second-longest river in the United States. The longest one, Missouri, joins it to form the longest river flow in North America. This river flows through ten states- Minnesota, Wisconsin, Iowa, Illinois, Missouri, Kentucky, Arkansas, Tennessee, Mississippi and Louisiana and mouths into the Gulf of Mexico. I am not going to ask you about its name, but about its source. What is the origin of the Mississippi river?", "Lake Itasca", "Lake Superior", "Lake Pepin", "Cass Lake"
" This is the twelfth-longest river in the world. It runs through China, Myanmar, Thailand, Laos, Cambodia and Vietnam. There are various theories about the source and the exact length of the river because there are several effluents of it that are too difficult to explore. Due to the many rapids and waterfalls, as well as the extreme changes in the flow of the river, sailing is extremely difficult. What is the name of this river?", "Mekong", "Saskatchewan", "Angara", "Brahmaputra"
" The longest river in Europe is Volga. But do you know which is the second longest one? It flows through several major European cities, such as Ulm, Vienna, Bratislava, Budapest and Belgrade. The river empties in the Black Sea on the terrirories of Romania and Ukraine.", "Danube", "Don", "Dniepr", "Emba"
